date,category,amount,note
2026-04-14,learning,1499,online course
2026-04-14,shopping,378,marketplace order
2026-04-14,subscription,662,digital subscription bundle
2026-04-15,groceries,749,quick delivery order
2026-04-15,misc,77,small online post
2026-04-16,personal,500,pet care
2026-04-16,subscription,199,music subscription
2026-04-17,entertainment,914,media and shopping combo
2026-04-18,groceries,255,quick delivery order
2026-04-18,bills,769,mobile recharge
2026-04-19,subscription,199,creative app
2026-04-20,food,757,food delivery
2026-04-21,subscription,59,small app add-on
2026-04-21,treats,160,snacks and dessert
2026-04-22,apps,98,app purchase
2026-04-22,groceries,187,quick delivery order
2026-04-23,groceries,467,home essentials
2026-04-24,apps,119,app purchase
2026-04-25,groceries,166,quick delivery order
2026-04-26,income,124,family transfer
2026-04-26,income,5000,family transfer
2026-04-27,food,756,food delivery
2026-04-27,food,850,group meal orders
2026-04-27,apps,50,small app purchase
2026-04-28,income,3000,family transfer
2026-05-04,food,880,food delivery
2026-05-04,learning,780,online class
